slug,niche,status,error_code,bytes,bucket,note
chiropractic-practices-1,chiropractic-practices,ok,,1449,clean-ok,ok
chiropractic-practices-13,chiropractic-practices,ok,,5138,clean-ok,ok
chiropractic-practices-7,chiropractic-practices,ok,,3111,clean-ok,ok
gutter-installation-repair-1,gutter-installation-repair,ok,,3011,clean-ok,ok
gutter-installation-repair-17,gutter-installation-repair,ok,,5216,clean-ok,ok
gutter-installation-repair-5,gutter-installation-repair,ok,,3225,clean-ok,ok
iv-therapy-wellness-1,iv-therapy-wellness,ok,,15110,clean-ok,ok
iv-therapy-wellness-10,iv-therapy-wellness,ok,,3303,clean-ok,ok
med-spa-services-1,med-spa-services,ok,,1551,clean-ok,ok
med-spa-services-11,med-spa-services,ok,,1551,clean-ok,ok
property-inspection-services-1,property-inspection-services,ok,,3658,clean-ok,ok
property-inspection-services-11,property-inspection-services,ok,,6467,clean-ok,ok
real-estate-photography-1,real-estate-photography,ok,,3615,clean-ok,ok
real-estate-photography-17,real-estate-photography,ok,,7746,clean-ok,ok
real-estate-photography-9,real-estate-photography,ok,,1838,clean-ok,ok
real-estate-staging-services-1,real-estate-staging-services,ok,,2773,clean-ok,ok
real-estate-staging-services-16,real-estate-staging-services,ok,,1432,clean-ok,ok
real-estate-staging-services-6,real-estate-staging-services,ok,,4177,clean-ok,ok
virtual-staging-services-11,virtual-staging-services,ok,,3615,clean-ok,ok
virtual-staging-services-16,virtual-staging-services,ok,,1464,clean-ok,ok
waste-management-services-1,waste-management-services,ok,,17715,clean-ok,ok
waste-management-services-13,waste-management-services,ok,,6517,clean-ok,ok
waste-management-services-7,waste-management-services,ok,,3029,clean-ok,ok
gutter-installation-repair-13,gutter-installation-repair,degraded,empty_response,0,good-catch,0B
gutter-installation-repair-9,gutter-installation-repair,degraded,empty_response,0,good-catch,0B
real-estate-photography-13,real-estate-photography,degraded,empty_response,0,good-catch,0B
real-estate-photography-5,real-estate-photography,degraded,empty_response,0,good-catch,0B
real-estate-staging-services-11,real-estate-staging-services,degraded,empty_response,0,good-catch,0B
virtual-staging-services-1,virtual-staging-services,degraded,empty_response,0,good-catch,0B
virtual-staging-services-6,virtual-staging-services,degraded,empty_response,0,good-catch,0B
